,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1077,19,19.0,2014-06-12,29-164,MIA,,SAS,L (-21),1,37:39,10,17,0.588,4,8,0.5,4,6,0.667,0,8,8,2,0,0,3,0,28,20.1,-21
1078,20,20.0,2014-06-15,29-167,MIA,@,SAS,L (-17),1,41:16,10,21,0.47600000000000003,3,9,0.33299999999999996,8,9,0.889,1,9,10,5,0,2,1,1,31,26.8,-16
1079,1,1.0,2014-10-30,29-304,CLE,,NYK,L (-5),1,43:14,5,15,.333,1,5,.200,6,7,.857,0,5,5,4,0,0,8,3,17,3.2,-13
1080,2,2.0,2014-10-31,29-305,CLE,@,CHI,W (+6),1,41:40,14,30,.467,1,3,.333,7,9,.778,1,7,8,5,4,1,3,1,36,27.4,-3
1081,3,3.0,2014-11-04,29-309,CLE,@,POR,L (-19),1,34:56,4,12,.333,2,4,.500,1,1,1.000,1,6,7,7,1,0,3,2,11,8.8,-15
1082,4,4.0,2014-11-05,29-310,CLE,@,UTA,L (-2),1,42:02,8,18,.444,3,5,.600,12,12,1.000,0,3,3,4,3,0,4,2,31,23.5,+3
1083,5,5.0,2014-11-07,29-312,CLE,@,DEN,W (+9),1,39:38,8,18,.444,1,5,.200,5,6,.833,0,7,7,11,1,1,3,1,22,20.3,+14
1084,6,6.0,2014-11-10,29-315,CLE,,NOP,W (+7),1,40:26,9,17,.529,1,3,.333,13,17,.765,2,9,11,9,1,1,4,1,32,29.8,+15
1085,7,7.0,2014-11-14,29-319,CLE,@,BOS,W (+1),1,40:51,16,27,.593,3,8,.375,6,9,.667,0,4,4,7,0,1,3,4,41,29.5,+10
1086,8,8.0,2014-11-15,29-320,CLE,,ATL,W (+33),1,28:54,13,20,.650,4,5,.800,2,4,.500,2,4,6,7,0,1,3,1,32,27.2,+14
1087,9,9.0,2014-11-17,29-322,CLE,,DEN,L (-9),1,40:34,8,18,.444,1,4,.250,5,7,.714,0,9,9,5,0,2,4,2,22,14.6,-13
